full_title,date
"Defense official: Ft. Bragg shooting victim was Lt. Col., suspect was in his unit",2012
"Katie Holmes files for divorce from Tom Cruise, attorney says.",2012
House approves new highway funding and student loan bill.,2012
Passengers and crew foil plane hijack attempt in China.,2012
"WikiLeaks' #Assange will remain in UK Ecuadorian Embassy, spokeswoman says.",2012
"Chances are if you live in the U.S., you're going to feel the heat Friday",2012
"Soldier dead, two others injured in #Fort_Bragg shooting.",2012
31 victims identified in widening Air Force sex scandal.,2012
"At least 346 homes on 34 streets in Colorado Springs, Colorado, have been destroyed by the Waldo Canyon #wildfire.",2012
House passes a measure also authorizing civil action against AG Eric_Holder.,2012
"Attorney General Eric Holder dismisses contempt vote as ""politically motivated.""",2012
"#Holder on contempt finding: ""A crass effort and a grave disservice to the American people.""",2012
"#RIM will fire 5,000 employees and delay its upcoming operating system.",2012
Attorney General #Eric_Holder found in contempt of Congress.,2012
"UK police demand #WikiLeaks' #Assange leave embassy, go to police station.",2012
Mitt Romney promises to repeal health care law if elected president.,2012
Roberts wrote individual mandate could be seen as tax and within congressional powers.,2012
Chief Justice John Roberts voted with majority in 5-4 health care decision.,2012
Supreme Court ruling upholding health care law was 5-4 decision.,2012
Correction: The Supreme Court backs all parts of President Obama’s health care law.,2012
Supreme Court strikes down law making it a crime to lie about military medals earned.,2012
Supreme Court strikes down individual mandate portion of health care law.,2012
President Obama to speak soon after Supreme Court health care ruling.,2012
"Blast shakes central Damascus, Syrian government and opposition officials say.",2012
"7 years for man who stole historic documents and sold them to museums, libraries",2012
"Florida man who chewed face off of another was not on ""bath salts,"" tests show",2012
T-Mobile USA's CEO resigns,2012
"Two dead in Florida as a result of Tropical Storm #Debby, officials say",2012
Speaker John Boehner says U.S. House will proceed with contempt vote against Eric Holder,2012
Coast Guard investigating whether stowaways in container on vessel in N.J. port,2012
Britain's Queen Elizabeth shakes hands with ex-IRA commander Martin McGuinness,2012
"Drake, Chris Brown offered $1 million each to duke it out",2012
"32,000 #evacuated in fast-moving #ColoradoSprings wildfire.",2012
Family releases photo of flesh-eating patient #Aimee_Copeland going outside for first time in 7 weeks.,2012
"Filmmaker and writer #Nora_Ephron has died, her son Jacob Bernstein told The New York Times. She was 71.",2012
#BCS panel approves college #football playoff plan.,2012
NHC: #Tropical_Storm_Debby has been downgraded to a tropical depression.,2012
South Carolina #gas falls below $3 a gallon.,2012
"NHC: #Tropical_Storm_Debby made landfall near Steinhatchee, Florida, on Tuesday afternoon.",2012
Global #cybercrime crackdown yields 24 arrests.,2012
Evacuations ordered in #Florida as #Debby soaks state.,2012
"#NATO condemns in ""strongest terms"" #Syria downing of Turkish warplane.",2012
3 police killed in #Mexico City international airport shooting.,2012
#Tropical_Storm_Debby dumps 5 inches of rain per hour on parts of the Panhandle.,2012
Source: House vote to hold Attorney General #Holder in contempt set for Thursday.,2012
"#FBI: Nationwide child #prostitution sweep leads to 104 arrests, 79 children rescued.",2012
"#Stocks end lower on fear about Europe's debt crisis. Dow drops 138 points. Nasdaq falls 2%, S&amp;P slides 1.6%.",2012
"Attorney General ""concerned"" by part of #Arizona immigration law left in place.",2012
